,DRAFTSHEET  -  10 Team  -  0.5 PPR  -  1QB(12)/2RB(48)/3WR(65)/1TE(24)/0[RB/WR/TE],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLAYER SEARCH
,"Passing: 6 PPTD, 0.02 PPY, -2 Int  |  Rushing: 6 PPTD, 0.1 PPY  |  Receiving: 6 PPTD, 0.1 PPY, 0.5 PPR  |  Draft: use 'x' if drafted by someone else, 'o' if drafted by you  |  Updated: 2026-08-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE NAME HERE:
,QUARTERBACK,,,,,,,,,,RUNNING BACK,,,,,,,,,,WIDE RECEIVER,,,,,,,,,,Position:
,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,TIER,NAME,TM/BYE,PTS,VALUE,PS,ECR,DRAFT,,,Tier:
,4,Hunter Henry,NE/11,97,5,7%,144,,16,,8,Justice Hill,BAL/13,63,1,0%,244,,-15,,5,Calvin Ridley,TEN/9,88,3,0%,186,,6,,
,4,Juwan Johnson,NO/8,97,5,5%,140,,16,,8,Kaytron Allen,WAS/7,59,1,0%,203,,-19,,5,Jerry Jeudy,CLE/11,86,2,0%,164,,5,,
,4,Brenton Strange,JAC/7,96,5,2%,150,,15,,8,Nicholas Singleton,TEN/9,59,1,0%,190,,-20,,5,Tre Tucker,LV/13,85,2,0%,163,,4,,
,4,Dalton Schultz,HOU/8,90,3,2%,156,,8,,8,Samaje Perine,CIN/6,57,1,0%,260,,-21,,6,Tank Dell,HOU/8,85,2,0%,189,,3,,
,4,T.J. Hockenson,MIN/6,87,2,0%,173,,5,,8,Demond Claiborne,MIN/6,54,1,0%,245,,-24,,6,Jalen McMillan,TB/10,82,1,0%,166,,0,,
,5,Pat Freiermuth,PIT/9,83,1,0%,204,,2,,8,Ty Johnson,BUF/7,52,1,0%,264,,-26,,6,Jauan Jennings,MIN/6,81,1,0%,165,,0,,
,5,Kenyon Sadiq,NYJ/13,82,1,0%,187,,1,,8,Jordan James,SF/8,47,1,0%,259,,-31,,6,Omar Cooper Jr.,NYJ/13,81,1,0%,181,,-1,,
,5,Cade Otton,TB/10,82,1,0%,202,,0,,8,Kimani Vidal,LAC/7,45,1,0%,185,,-34,,6,Rashod Bateman,BAL/13,81,1,0%,198,,-1,,
,5,AJ Barner,SEA/11,82,1,0%,169,,0,,8,MarShawn Lloyd,GB/11,44,1,0%,162,,-34,,6,Keenan Allen,IND/13,80,1,0%,188,,-1,,
,5,Greg Dulcich,MIA/6,81,1,0%,271,,0,,8,James Conner,ARI/14,44,1,0%,213,,-35,,6,Jalen Nailor,LV/13,78,1,0%,177,,-4,,
,5,Terrance Ferguson,LAR/11,81,1,0%,174,,-1,,8,Jaydon Blue,DAL/14,43,1,0%,197,,-36,,6,Adonai Mitchell,NYJ/13,74,1,0%,159,,-7,,
,5,Chig Okonkwo,WAS/7,81,1,0%,154,,-1,,8,Emanuel Wilson,SEA/11,41,1,0%,208,,-37,,6,Kayshon Boutte,HOU/8,72,1,0%,175,,-10,,
,5,Gunnar Helm,TEN/9,72,1,0%,192,,-9,,9,Chris Brooks,GB/11,41,1,0%,255,,-38,,6,Cooper Kupp,SEA/11,72,1,0%,218,,-10,,
,5,Evan Engram,DEN/10,72,1,0%,233,,-10,,9,Najee Harris,NYG/8,40,1,0%,258,,-39,,6,Dontayvion Wicks,PHI/10,69,1,0%,171,,-12,,
,5,David Njoku,LAC/7,71,1,0%,227,,-10,,9,Jaylen Wright,MIA/6,39,1,0%,222,,-39,,6,Malik Washington,MIA/6,68,1,0%,182,,-13,,
,5,Oronde Gadsden II,LAC/7,71,1,0%,178,,-11,,9,George Holani,SEA/11,34,1,0%,219,,-44,,6,Travis Hunter,JAC/7,68,1,0%,193,,-14,,
,6,Mike Gesicki,CIN/6,66,1,0%,305,,-16,,9,Ray Davis,BUF/7,34,1,0%,168,,-44,,6,Jaylin Noel,HOU/8,68,1,0%,191,,-14,,
,6,Colby Parkinson,LAR/11,65,1,0%,237,,-17,,9,Sean Tucker,TB/10,33,1,0%,183,,-46,,7,Tre' Harris,LAC/7,61,1,0%,170,,-21,,
,6,Mason Taylor,NYJ/13,62,1,0%,280,,-19,,9,Malik Davis,DAL/14,32,1,0%,274,,-47,,7,Ryan Flournoy,DAL/14,60,1,0%,180,,-22,,
,6,Theo Johnson,NYG/8,56,1,0%,283,,-26,,9,Isaiah Davis,NYJ/13,31,1,0%,250,,-48,,7,Isaac TeSlaa,DET/6,56,1,0%,199,,-25,,
,7,Eli Stowers,PHI/10,39,1,0%,296,,-43,,9,Ollie Gordon II,MIA/6,29,1,0%,239,,-50,,7,Pat Bryant,DEN/10,52,1,0%,179,,-30,,
,7,Jake Tonges,SF/8,36,1,0%,321,,-45,,9,LeQuint Allen Jr.,JAC/7,27,1,0%,266,,-51,,7,Darnell Mooney,NYG/8,46,1,0%,216,,-36,,
